0,3
1,53
2,1
3,2
4,8
5,9
6,8
7,3
8,5
9,16
10,12
11,23
12,7
13,19
14,13
15,14
16,24
17,38
18,19
19,18
20,8
21,25
22,21
23,15
24,20
25,18
26,14
27,21
28,17
29,21
30,27
31,44
32,35
33,18
34,16
35,24
36,16
37,16
38,20
39,12
40,32
41,15
42,21
43,22
44,17
45,12
46,33
47,27
48,20
49,15
50,38
51,20
52,33
53,30
54,33
55,17
56,17
57,39
58,21
59,43
60,33
61,22
62,29
63,47
64,21
65,28
66,16
67,17
68,33
69,29
70,23
71,20
72,48
73,26
74,18
75,22
76,40
77,33
78,36
79,34
80,41
81,25
82,22
83,56
84,19
85,20
86,27
87,29
88,30
89,34
90,32
91,38
92,47
93,27
94,19
95,38
96,19
97,34
98,29
99,41
100,19
101,30
102,29
103,21
104,34
105,25
106,24
107,21
108,38
109,37
110,17
111,20
112,25
113,34
114,30
115,29
116,37
117,20
118,25
119,35
120,6
121,28
122,31
123,23
124,30
125,59
126,16
127,33
128,45
129,24
130,49
131,21
132,38
133,46
134,36
135,29
136,40
137,47
138,36
139,41
140,38
141,54
142,20
143,18
144,50
145,35
146,3
147,6
148,38
149,34
150,16
151,27
152,44
153,25
154,38
155,33
156,41
157,37
158,19
159,43
160,30
161,6
162,52
163,34
164,22
165,45
166,26
167,36
168,26
169,47
170,44
171,38
172,34
173,9
174,46
175,31
176,18
177,22
178,44
179,45
180,27
181,13
182,27
183,38
184,18
185,40
186,29
187,41
188,41
189,47
190,26
191,41
192,38
193,27
194,31
195,63
196,6
197,51
198,45
199,22
200,24
201,24
202,18
203,40
204,33
205,46
206,33
207,44
208,30
209,31
210,9
211,20
212,27
213,27
214,29
215,30
216,40
217,64
218,25
219,29
220,78
221,45
222,22
223,37
224,47
225,6
226,56
227,40
228,38
229,33
230,6
231,47
232,15
233,36
234,12
235,20
236,29
237,32
238,33
239,51
240,31
241,54
242,37
243,30
244,33
245,9
246,42
247,31
248,31
249,36
250,28
251,30
252,25
253,48
254,19
255,41
256,18
257,23
258,37
259,49
260,35
261,13
262,25
263,49
264,44
265,24
266,28
267,45
268,38
269,43
270,50
271,19
272,29
273,27
274,36
275,39
276,41
277,23
278,60
279,28
280,29
281,30
282,4
283,9
284,23
285,4
286,10
287,22
288,43
289,10
290,57
291,34
292,10
293,10
294,8
295,47
296,11
297,27
298,63
299,26
300,41
301,18
302,60
303,12
304,28
305,37
306,48
307,51
308,43
309,35
310,22
311,19
312,18
313,46
314,31
315,41
316,23
317,49
318,51
319,17
320,46
321,30
322,25
323,31
324,51
325,39
326,25
327,67
328,10
329,43
330,16
331,34
332,14
333,32
334,15
335,10
336,2
337,41
338,51
339,46
340,33
341,11
342,53
343,8
344,83
345,7
346,33
347,38
348,62
349,25
350,44
351,20
352,27
353,31
354,38
355,45
356,11
357,24
358,53
359,30
360,96
361,29
362,26
363,62
364,35
365,7
366,48
367,52
368,17
369,23
370,22
371,8
372,45
373,12
374,20
375,48
376,25
377,39
378,56
379,76
380,18
381,51
382,33
383,46
384,35
385,68
386,46
387,54
388,43
389,17
390,39
391,22
392,20
393,33
394,21
395,5
396,41
397,36
398,30
399,66
400,49
401,32
402,30
403,37
404,37
405,45
406,8
407,63
408,7
409,19
410,40
411,32
412,44
413,51
414,40
415,40
416,51
417,40
418,35
419,36
420,16
421,9
422,42
423,16
424,21
425,35
426,27
427,62
428,24
429,47
430,24
431,36
432,11
433,32
434,29
435,13
436,28
437,53
438,10
439,40
440,48
441,28
442,31
443,23
444,41
445,44
446,30
447,20
448,30
449,23
450,10
451,59
452,25
453,39
454,45
455,54
456,18
457,15
458,9
459,14
460,53
461,54
462,22
463,51
464,65
465,29
466,9
467,36
468,9
469,18
470,25
471,67
472,15
473,30
474,14
475,61
476,16
477,40
478,54
479,34
480,33
481,14
482,17
483,63
484,52
485,14
486,16
487,82
488,10
489,43
490,22
491,16
492,47
493,33
494,15
495,32
496,26
497,31
498,37
499,26
