18000,494,1,2.7,6,0
18000,978,1,2.8,6,500
18000,1443,1,2.45,6,1000
18000,1902,1,2.41,6,1500
18000,2337,1,2.79,7,2000
18000,2764,1,2.58,6,2500
18000,3170,1,2.32,6,3000
18000,3574,1,2.61,6,3500
18000,3980,1,2.24,5,4000
18000,4361,1,2.47,6,4500
18000,4727,1,2.19,6,5000
18000,5095,1,2.02,5,5500
18000,5451,1,2.24,6,6000
18000,5787,1,1.99,6,6500
18000,6109,1,2.12,6,7000
18000,6444,1,2.22,5,7500
18000,6770,1,2.24,6,8000
18000,7085,1,1.92,5,8500
18000,7372,1,1.94,5,9000
18000,7654,1,1.93,5,9500
18000,7965,1,1.88,6,10000
18000,8233,1,2.14,6,10500
18000,8490,1,2.08,6,11000
18000,8732,1,1.92,5,11500
18000,8982,1,1.75,6,12000
18000,9236,1,1.66,5,12500
18000,9497,1,2.03,6,13000
